ci,tipo_tramite,fecha,codigo_qr
3533,nuevo,01/12/2020,9l485o1366y2:87904
8800,renovacion,01/12/2020,3c758u6422q8:72035
3186,renovacion,01/12/2020,4r104b9609c9:19872
8664,perdida,01/12/2020,1e863b4121h6:27561
1720,renovacion,01/12/2020,9n308b6822y8:19086
6242,perdida,01/12/2020,1t513i2730d3:26734
4310,renovacion,01/12/2020,8x594t2261m0:98806
3060,nuevo,01/12/2020,6d745d2822q8:85367
6853,nuevo,01/12/2020,1p689j6821a0:90665
628,renovacion,01/12/2020,4l406z3951q5:30251
9052,renovacion,01/12/2020,1h660d8481s6:26148
8505,perdida,01/12/2020,5c127o1173e4:45462
1209,nuevo,01/12/2020,3z144x8306u0:85074
8293,nuevo,01/12/2020,8x564i1214w1:56152
6586,nuevo,01/12/2020,9f940d6743m7:69995
6540,perdida,01/12/2020,9z167y2571f8:95840
3935,renovacion,01/12/2020,2w757a8653j6:12598
8612,perdida,01/12/2020,5l981m6631r1:62284
7271,renovacion,01/12/2020,9w257h8665i7:37500
5389,nuevo,01/12/2020,5h637a7458s6:93026
6345,renovacion,01/12/2020,6s568k5615g6:36837
3785,renovacion,01/12/2020,5i546w8007l7:96256
9052,perdida,01/12/2020,2e358l6840e2:32236
9635,renovacion,01/12/2020,4r252c2934z0:23646
7437,nuevo,01/12/2020,4d434h8139s0:93514
5403,renovacion,01/12/2020,1l530h6314x0:52540
4831,renovacion,01/12/2020,4n528n2436r6:79713
9080,perdida,01/12/2020,3j298m7508z9:53014
3446,perdida,01/12/2020,1o977a6661i1:37756
6136,nuevo,01/12/2020,1g297l8777y9:89830
5999,renovacion,01/12/2020,5p956i7268k3:32036
9059,renovacion,01/12/2020,1i157g5722i5:25400
7808,renovacion,01/12/2020,9j958x9881v3:34711
6071,renovacion,01/12/2020,8c929q8165s2:42950
6391,renovacion,01/12/2020,8c781r2292c5:51084
6835,nuevo,01/12/2020,7i259i7200i0:12802
6268,perdida,01/12/2020,9l929j1439r7:76921
9760,perdida,01/12/2020,5d103h4082m2:50758
4585,nuevo,01/12/2020,4y343n2586c7:71604
9084,renovacion,01/12/2020,4g998x4962b1:84858
8697,nuevo,01/12/2020,6r106d6759z4:19186
5953,nuevo,01/12/2020,6q740w7762q8:42567
3419,renovacion,01/12/2020,8l149f7983m6:94510
8848,renovacion,01/12/2020,1v927u8932y0:31594
1148,perdida,01/12/2020,2p773i8876q8:80174
7462,perdida,01/12/2020,7c641i2594s1:44749
4100,renovacion,01/12/2020,4d856c3250l6:48064
4070,nuevo,01/12/2020,9w866z2781c2:28678
47,renovacion,01/12/2020,4c609f5348f7:25909
1527,perdida,01/12/2020,5e870o3225y3:46913
6893,nuevo,01/12/2020,1j221l6927r9:48873
3433,nuevo,01/12/2020,1o969s7674w9:68259
9112,renovacion,01/12/2020,7a857f4281x2:11634
3107,nuevo,01/12/2020,8i414p3404d8:90490
4632,nuevo,01/12/2020,8s415n7330f6:35975
6480,renovacion,01/12/2020,4d751u9539w7:84629
9542,perdida,01/12/2020,1x564d4610k3:68251
7837,perdida,01/12/2020,3j279a8589q8:88091
1211,nuevo,01/12/2020,9u713k3988a4:62396
8400,renovacion,01/12/2020,4k921r8567t2:76084
3156,renovacion,01/12/2020,2a275w6110g8:40079
487,perdida,01/12/2020,5q321i5032j0:80853
4290,nuevo,01/12/2020,7u997y9184c2:78815
6617,perdida,01/12/2020,2b903m6661a9:74362
9063,renovacion,01/12/2020,5v283z7498h8:53179
5904,renovacion,01/12/2020,7q193t5591s2:10572
5358,nuevo,01/12/2020,2b914u1328n0:57049
4839,perdida,01/12/2020,4e175m6664y0:88558
5833,renovacion,01/12/2020,8x672p8786l5:35822
5904,perdida,01/12/2020,8y764u9312o3:95787
2387,renovacion,01/12/2020,9i231c6944y8:17490
4551,nuevo,01/12/2020,5t189j5246o0:70739
7650,renovacion,01/12/2020,4j924g3994i8:50613
3198,renovacion,01/12/2020,7c706n5943y5:33319
3377,renovacion,01/12/2020,6y173k8106i7:58608
9293,renovacion,01/12/2020,3c359e7175h1:88955
2597,renovacion,01/12/2020,2z208r8823u5:64115
3849,renovacion,01/12/2020,1s927y2515f0:98312
1650,renovacion,01/12/2020,6g705w7298o2:53040
1321,renovacion,01/12/2020,9k298o4338u4:79780
7456,nuevo,01/12/2020,8l825i6917b7:74223
1886,renovacion,01/12/2020,5c432m1290g6:66630
2129,renovacion,01/12/2020,4a826w9574y2:73009
3192,renovacion,01/12/2020,2u322w1912a0:65898
5734,nuevo,01/12/2020,2c200d9848w6:73363
4810,renovacion,01/12/2020,3c669l7242b2:23135
5995,renovacion,01/12/2020,6q569l8012q4:51856
2133,renovacion,01/12/2020,6a286h3418j8:27661
5333,nuevo,01/12/2020,6w685y1353i5:28381
8296,nuevo,01/12/2020,4r572r3451m1:67358
8547,perdida,01/12/2020,1n976z5027k0:76373
4121,nuevo,01/12/2020,9l629r2187v5:31195
3224,renovacion,01/12/2020,6f943c9640q9:66806
2109,renovacion,01/12/2020,6s233c7375c1:67351
4486,renovacion,01/12/2020,2g569d1720r5:16580
8571,renovacion,01/12/2020,6s302f2615k7:95658
8493,nuevo,01/12/2020,3s256z1200t9:51689
2669,renovacion,01/12/2020,1g525q8486f4:75467
7058,nuevo,01/12/2020,7w690q4944c2:57693
6759,renovacion,01/12/2020,1t318b7611d8:31193
472,renovacion,01/12/2020,6v235t7595d8:81006
8254,perdida,01/12/2020,2f576y5663d4:78891
413,renovacion,01/12/2020,5i513t5990o2:15672
6676,perdida,01/12/2020,7r760z9353k5:98040
2896,renovacion,01/12/2020,9d125c7132g2:20662
993,renovacion,01/12/2020,8h195e7844i0:25924
2871,nuevo,01/12/2020,7j530s4048y5:19677
4991,perdida,01/12/2020,9t466t1126p2:23554
3556,renovacion,01/12/2020,8k139o2546n9:71594
9444,renovacion,01/12/2020,4l683w3569h6:78372
1815,renovacion,01/12/2020,8e860b8877w1:61322
7803,nuevo,01/12/2020,9d374d7734v2:63628
8939,renovacion,01/12/2020,5v397g7822d3:21493
465,nuevo,01/12/2020,2b781e2812g9:25340
1393,perdida,01/12/2020,7c446b9597w5:56225
6201,nuevo,01/12/2020,1r137p1610g6:48328
4964,perdida,01/12/2020,2t484n8988y5:35849
3618,renovacion,01/12/2020,3e674v1796x8:11364
146,perdida,01/12/2020,1n439h9623p2:96714
5165,nuevo,01/12/2020,7g461f1081t6:59464
8936,nuevo,01/12/2020,6b644w8303z0:35666
8069,renovacion,01/12/2020,2i324o4815n4:27452
6729,renovacion,01/12/2020,9e709x6931v0:79323
632,perdida,01/12/2020,4e247x5215m0:87912
4947,renovacion,01/12/2020,7n953g6995y5:17769
5257,renovacion,01/12/2020,1m316v6475l9:24114
1734,renovacion,01/12/2020,2p625z8769j3:51177
807,perdida,01/12/2020,9o532e9424e1:11098
8988,nuevo,01/12/2020,1v984l9975l6:25070
455,renovacion,01/12/2020,9t177v6071m2:17688
828,perdida,01/12/2020,7r991s1654t7:82580
9463,nuevo,01/12/2020,9s910d7735h2:14827
8026,perdida,01/12/2020,6q865d4491r6:71216
5661,renovacion,01/12/2020,8u530p9613b4:79717
6651,renovacion,01/12/2020,7n634w5726u5:64172
8013,nuevo,01/12/2020,2j386r6014p0:29563
9349,nuevo,01/12/2020,5z129e4244w2:59035
2181,nuevo,01/12/2020,3p281c4309l4:90920
7126,nuevo,01/12/2020,8g613p3669f9:60612
8047,perdida,01/12/2020,1f951c5317f2:48959
8262,perdida,01/12/2020,7d601r5383m6:44310
8716,nuevo,01/12/2020,1s995c3386h1:59471
9050,renovacion,01/12/2020,5y876a7573j3:29734
7978,renovacion,01/12/2020,7a453w9884s8:69229
2521,renovacion,01/12/2020,9u392k1070p3:20500
6024,renovacion,01/12/2020,4m352l3354y5:72798
1895,renovacion,01/12/2020,9s161x2800h7:37832
8463,perdida,01/12/2020,4u359i1137c3:70098
6919,renovacion,01/12/2020,5d665z8502o6:92584
6532,perdida,01/12/2020,9l248l7688b6:55660
7118,renovacion,01/12/2020,2r517g2302j2:92569
3406,renovacion,01/12/2020,8k807g2709y3:52924
3439,renovacion,01/12/2020,4h615e9289n0:70456
5812,renovacion,01/12/2020,3d484l8657a7:24116
3094,perdida,01/12/2020,9j477w9431k1:95859
9747,nuevo,01/12/2020,7d377w1482c8:82613
4072,renovacion,01/12/2020,7z951l1226a7:79768
6121,perdida,01/12/2020,2d601s4165n6:23903
8975,renovacion,01/12/2020,5o434t5884o4:69795
3454,perdida,01/12/2020,9c211b2219h6:76343
8011,renovacion,01/12/2020,3f414y8570b0:29540
6373,perdida,01/12/2020,2x768a4814b4:88675
8733,renovacion,01/12/2020,2t802x6324e3:87892
7956,renovacion,01/12/2020,6z405s4509w3:61964
7265,renovacion,01/12/2020,6q561a3728j3:89918
5078,nuevo,01/12/2020,6y906f3426q8:98202
4560,nuevo,01/12/2020,2k456e6490z8:44135
2395,renovacion,01/12/2020,4o110a3116g5:67534
1423,renovacion,01/12/2020,9m249m4729k3:49427
1138,perdida,01/12/2020,4j752j1968f9:20732
3989,renovacion,01/12/2020,1d729i7223c4:49062
7091,renovacion,01/12/2020,1v473w1502y7:63552
2713,renovacion,01/12/2020,6c561w5657h3:98143
6095,nuevo,01/12/2020,7w508g7872l4:37217
2427,perdida,01/12/2020,9q218p1764v5:66622
4705,renovacion,01/12/2020,2w371t8437p3:11423
6406,renovacion,01/12/2020,4l606d7537a1:89751
3232,renovacion,01/12/2020,5d241i8138l7:63653
8543,perdida,01/12/2020,9g956j5255m3:67921
1980,perdida,01/12/2020,5k411t5503e0:25007
5352,perdida,01/12/2020,8x490y5568z3:59088
3407,renovacion,01/12/2020,6g534s5924g2:12116
378,nuevo,01/12/2020,8r203s8861h9:52927
3467,perdida,01/12/2020,5c442r7364t1:19114
3236,nuevo,01/12/2020,8v156a7277r7:85286
5698,renovacion,01/12/2020,9p624x3611u0:35372
3019,perdida,01/12/2020,8s657q8274g8:59854
6404,nuevo,01/12/2020,7g444n5201n9:45877
6100,renovacion,01/12/2020,6n105s1677u5:97125
64,renovacion,01/12/2020,1e448d1822f9:95390
6110,renovacion,01/12/2020,2r394q1301y1:68053
5112,renovacion,01/12/2020,6o384u5543u1:46442
4628,nuevo,01/12/2020,3k552f1703t9:19922
36,perdida,01/12/2020,7n995x2144t4:67999
2204,renovacion,01/12/2020,1p774f1677g5:74926
2882,nuevo,01/12/2020,3x805s3794x8:29877
7323,nuevo,01/12/2020,4x232b7154b7:22402
2599,renovacion,01/12/2020,2h113h1202x8:42419
4678,nuevo,01/12/2020,1t657b5406r0:85871
7842,nuevo,01/12/2020,8c822g7302e7:76973
9618,renovacion,01/12/2020,2z848r8841i2:91461
9162,nuevo,01/12/2020,8v836b4597t5:65996
6698,nuevo,01/12/2020,2j703r3891c8:50279
2982,renovacion,01/12/2020,9v854r1797u3:62114
3641,renovacion,01/12/2020,3z250d3402t2:58442
7033,renovacion,01/12/2020,3f169x4540v0:30189
2044,renovacion,01/12/2020,2j403h5422i3:37237
6957,renovacion,01/12/2020,4h105i7022d0:54423
1089,renovacion,01/12/2020,3g285m7502w7:38387
2390,renovacion,01/12/2020,5r714k5069w9:16152
1639,renovacion,01/12/2020,8l693g7826b5:46173
5839,renovacion,01/12/2020,3c356b2034b9:41512
2125,nuevo,01/12/2020,9n779d7298l3:60919
4475,renovacion,01/12/2020,6b273d7608h7:89517
4398,nuevo,01/12/2020,9o433a3977d1:51522
6810,perdida,01/12/2020,3m396d1710q1:67608
1160,nuevo,01/12/2020,7m857x4091v6:78004
3088,renovacion,01/12/2020,1m519u6841n3:16531
4755,renovacion,01/12/2020,1l930h7112q3:58148
8016,nuevo,01/12/2020,1b701x4924h8:91583
5379,renovacion,01/12/2020,9r734q7620m8:78202
1041,perdida,01/12/2020,2v118c4084i4:13462
4769,perdida,01/12/2020,5v253z6144i2:27671
5952,renovacion,01/12/2020,4r443k6412m9:21682
2188,perdida,01/12/2020,1u291d1680e6:60785
5970,nuevo,01/12/2020,9t316x9655l2:21995
209,perdida,01/12/2020,1p236v8120r2:99179
8332,renovacion,01/12/2020,1c439g1727x9:76008
776,renovacion,01/12/2020,9p585h7214t6:14214
7394,renovacion,01/12/2020,9t133d2468o0:79633
4104,renovacion,01/12/2020,9m900w3618z8:73563
9042,renovacion,01/12/2020,5v143q1129o0:10390
4483,perdida,01/12/2020,6d526v6318m0:63888
362,nuevo,01/12/2020,6x906p7510s4:54295
5856,renovacion,01/12/2020,2y665c1594j7:46940
1289,renovacion,01/12/2020,6l740b6036s9:77325
50,nuevo,01/12/2020,7p788n2617g3:21550
9708,perdida,01/12/2020,4m795w2939x2:12393
1510,renovacion,01/12/2020,5l854x5032q9:17682
8245,nuevo,01/12/2020,2x879i6691r4:34084
4269,renovacion,01/12/2020,2z375w5575s4:15072
1238,perdida,01/12/2020,4g836h9230n5:81646
1659,renovacion,01/12/2020,3e604j2377t1:41329
6664,renovacion,01/12/2020,6e205x9718d3:59955
3214,renovacion,01/12/2020,3p392j2376a9:49779
2478,renovacion,01/12/2020,2m943g2111p4:72367
6284,nuevo,01/12/2020,3d261p3542r2:99123
2418,perdida,01/12/2020,4o636e3492j9:34117
9594,renovacion,01/12/2020,8c968z3076g0:39204
8971,nuevo,01/12/2020,5f797l9103a6:67494
4119,renovacion,01/12/2020,2o831o2237t8:73306
4928,perdida,01/12/2020,3r641q1267m3:72031
2170,perdida,01/12/2020,5r596a3225l3:84320
6570,perdida,01/12/2020,5o208g9054j6:16877
2390,renovacion,01/12/2020,2v862w8244n6:67291
619,nuevo,01/12/2020,2p283w4545x5:59009
7029,renovacion,01/12/2020,7k210g7085z5:81594
9440,renovacion,01/12/2020,8p336x7247y4:90576
9915,nuevo,01/12/2020,5l861n3312s7:81288
2502,nuevo,01/12/2020,6p629a6214j7:87839
8004,renovacion,01/12/2020,3p381s8612j5:21251
1759,renovacion,01/12/2020,6h430w6671j2:37538
4505,renovacion,01/12/2020,3l239d7940s7:32776
7352,nuevo,01/12/2020,5q150i4758k4:58577
2668,nuevo,01/12/2020,2o330a4595r8:98394
1635,renovacion,01/12/2020,8v118k1418y7:86039
8487,renovacion,01/12/2020,7v258b7646y0:49907
6716,nuevo,01/12/2020,3s515a9305r1:64988
3087,renovacion,01/12/2020,1o293w6753t0:57045
2908,renovacion,01/12/2020,4p680q6037c9:62564
6685,nuevo,01/12/2020,4m513p3806w6:55846
1964,nuevo,01/12/2020,2u194p1726w2:13281
7241,nuevo,01/12/2020,3j872l7897u3:54679
3835,perdida,01/12/2020,9k383p5662y8:17484
8247,renovacion,01/12/2020,2h420p1262p7:40751
6529,renovacion,01/12/2020,4i724f5485y5:81821
34,renovacion,01/12/2020,3o753s7554b9:73112
7970,renovacion,01/12/2020,4x931b6138c6:60140
8945,nuevo,01/12/2020,8r365w4230q4:19126
6505,perdida,01/12/2020,9j721m6459q9:45669
4065,nuevo,01/12/2020,1c929l1670m4:62699
9765,renovacion,01/12/2020,7c272g3309z7:24923
9464,renovacion,01/12/2020,5f593h9546j4:16704
1257,perdida,01/12/2020,8j663l7754j4:87885
3974,nuevo,01/12/2020,8n940f9643y2:84307
2554,perdida,01/12/2020,4x398q3046v6:79432
533,perdida,01/12/2020,1n572s8215z5:41729
7470,nuevo,01/12/2020,1y769p7952p8:58907
5369,renovacion,01/12/2020,3w695l5689l5:92508
7622,nuevo,01/12/2020,6a144w7551p7:29687
8769,renovacion,01/12/2020,5d570u2287w5:47871
3830,renovacion,01/12/2020,7u837f2082n2:60398
7669,renovacion,01/12/2020,6c557q4405w8:46188
8213,renovacion,01/12/2020,8s441w5721x0:61746
4165,renovacion,01/12/2020,3x208i5242c3:36133
538,renovacion,01/12/2020,1e786b4503j8:79879
8465,renovacion,01/12/2020,2j181d3199k2:55963
8928,perdida,01/12/2020,5b171p8021z8:52624
2623,renovacion,01/12/2020,1l661x6392f5:66116
7752,perdida,01/12/2020,9j629q8591l0:12025
7529,nuevo,01/12/2020,7l187z4828f6:26473
2000,nuevo,01/12/2020,6s882o9062f7:34203
5279,perdida,01/12/2020,4l696l3224e9:26731
2426,perdida,01/12/2020,5n921x4550o4:12679
3091,renovacion,01/12/2020,1j482o5627p2:11613
8471,nuevo,01/12/2020,2o357c3604v6:83668
7230,perdida,01/12/2020,7o973x7444d1:67579
7327,renovacion,01/12/2020,1b377e6378v5:50615
5148,renovacion,01/12/2020,8t590e4105d6:57406
3472,nuevo,01/12/2020,1l765q7568r0:51979
3507,renovacion,01/12/2020,8o965h5956f6:47640
7272,renovacion,01/12/2020,3m754v9870u9:29040
6062,renovacion,01/12/2020,3v562a2499u1:69831
8277,renovacion,01/12/2020,9b362y2812l6:59185
1389,renovacion,01/12/2020,1c336p2458r9:24562
7207,renovacion,02/12/2020,3z388q6151e9:65948
2967,renovacion,02/12/2020,2o973t8772j3:48053
7347,nuevo,02/12/2020,4q118m2685r6:87580
5307,renovacion,02/12/2020,5v851z4534r4:81047
4230,renovacion,02/12/2020,3f975u2502v2:72726
8890,nuevo,02/12/2020,1w802r8536k9:39689
4445,renovacion,02/12/2020,4j519c4394o3:43204
4193,renovacion,02/12/2020,4u163a9429y7:63398
3292,perdida,02/12/2020,1s232x7569g5:25636
9382,nuevo,02/12/2020,4p705r5217f2:77139
3377,renovacion,02/12/2020,2g530b9462j4:23333
4394,renovacion,02/12/2020,9i651t6811r1:86090
6418,nuevo,02/12/2020,4q201f7283m8:36399
7408,renovacion,02/12/2020,5r146p2245p1:61772
8448,nuevo,02/12/2020,8y242i7246v6:49603
7660,renovacion,02/12/2020,3g264y1215v0:37875
9007,renovacion,02/12/2020,3l245e2232m6:52229
7831,perdida,02/12/2020,1f545x1807j8:85798
1052,renovacion,02/12/2020,3t911u6019h6:94035
3211,nuevo,02/12/2020,7y443o8945a7:33784
9247,renovacion,02/12/2020,3z703z1335r7:84513
1129,renovacion,02/12/2020,9n889y9857i7:73952
3229,renovacion,02/12/2020,7k135y8428i3:87523
4374,renovacion,02/12/2020,6w216e4958e6:38780
7858,nuevo,02/12/2020,3o813b4662o7:89652
4516,nuevo,02/12/2020,3j740r6906s4:53021
2782,renovacion,02/12/2020,3a574y6464g3:49813
2435,renovacion,02/12/2020,3t243z5491p3:39082
7752,renovacion,02/12/2020,4t999i5744t4:98191
1979,renovacion,02/12/2020,4z951z7419l7:37727
2249,nuevo,02/12/2020,7s725f4542e6:47070
6650,renovacion,02/12/2020,1q884v1417l1:63717
5802,renovacion,02/12/2020,8a205p5962d2:27780
4840,nuevo,02/12/2020,2k523y8504o8:66182
2602,nuevo,02/12/2020,4b943y9603b4:10831
4693,perdida,02/12/2020,9s481x8425t6:41475
9574,renovacion,02/12/2020,9y529w2334i7:46364
8766,renovacion,02/12/2020,3p816d1780b3:11160
3222,perdida,02/12/2020,1p506a1204i4:62759
5829,nuevo,02/12/2020,9d473v5171r5:62521
5514,perdida,02/12/2020,2y756b8349m0:38857
2176,nuevo,02/12/2020,7w182j8858v0:42363
1236,renovacion,02/12/2020,9g179n7879v0:44190
1485,renovacion,02/12/2020,3u402s7783k5:27936
1827,perdida,02/12/2020,1k964b1121r1:16403
3247,renovacion,02/12/2020,9h123t6285e4:67880
6202,renovacion,02/12/2020,4b524f3537t3:25591
2918,renovacion,02/12/2020,2i735v1209g4:18045
9331,renovacion,02/12/2020,7h743d2075b7:77027
5885,renovacion,02/12/2020,5l299v7225y3:48628
929,renovacion,02/12/2020,4x280b2057q6:56810
6526,perdida,02/12/2020,7g709k3509m6:30823
5686,perdida,02/12/2020,8g831z4777m1:72281
4157,renovacion,02/12/2020,7q748l8697w5:77965
7165,renovacion,02/12/2020,4b299d4905q5:76016
4939,renovacion,02/12/2020,4e475g1074b7:53342
4420,perdida,02/12/2020,4r768a5408w0:15185
7138,renovacion,02/12/2020,1w101v2384m0:26801
2688,perdida,02/12/2020,4j288q4582l9:76366
9482,nuevo,02/12/2020,9z868w3349e3:64870
7097,renovacion,02/12/2020,9m661d8472r2:76571
18,renovacion,02/12/2020,3p733e6966y5:64521
4311,nuevo,02/12/2020,3u134u7732y3:25975
4496,renovacion,02/12/2020,5w152e5885v4:94837
9685,perdida,02/12/2020,2u918t8525l7:46524
4609,renovacion,02/12/2020,9r350s7304l8:42741
4619,renovacion,02/12/2020,2g257s1684c9:99129
3329,perdida,02/12/2020,9e132z6436j9:27691
1832,perdida,02/12/2020,5i371m1694z9:36899
4567,nuevo,02/12/2020,3b362i1424n3:24963
1389,renovacion,02/12/2020,3e171p8023k9:85796
6959,renovacion,02/12/2020,7n867g3857i3:40335
5315,renovacion,02/12/2020,7j830q2917w7:55296
1349,nuevo,02/12/2020,1q775r3142t2:33162
8329,nuevo,02/12/2020,9x932h7348a4:99762
983,renovacion,02/12/2020,3q278j2888h0:43336
8347,renovacion,02/12/2020,5l865w3413q8:40146
2049,perdida,02/12/2020,7d930t5018v9:18429
4179,nuevo,02/12/2020,1s391x3870g4:30978
9653,renovacion,02/12/2020,9a702u1058i6:95691
3766,renovacion,02/12/2020,2a855y7089t2:38478
7321,renovacion,02/12/2020,2s850j2544i2:61734
2753,nuevo,02/12/2020,2q140q9580g5:75636
1986,perdida,02/12/2020,3l474j6477z4:29047
9483,renovacion,02/12/2020,4o432q4280w0:63788
7696,perdida,02/12/2020,4z929q4299w7:40559
357,renovacion,02/12/2020,6y482p3673e5:50465
2246,renovacion,02/12/2020,3o863s1668d1:33669
8748,perdida,02/12/2020,9q932g1952p7:85121
2803,perdida,02/12/2020,5i301c1912i8:93446
9558,perdida,02/12/2020,3a873q7660g9:49192
6963,nuevo,02/12/2020,8y402z2988d1:38089
2214,nuevo,02/12/2020,9v416b5843r9:13985
317,renovacion,02/12/2020,3a148u2972w9:76196
1922,nuevo,02/12/2020,8h927i8620f2:55080
3304,renovacion,02/12/2020,4q373r1740x7:76249
9804,nuevo,02/12/2020,7w855m5348z7:60327
1443,renovacion,02/12/2020,3z224a6141t3:10326
3433,renovacion,02/12/2020,4q139k8972b9:23215
7181,renovacion,02/12/2020,5y189u6524b4:53823
3456,perdida,02/12/2020,9d901l6949t8:22163
524,nuevo,02/12/2020,5a101u6222x1:37534
3356,nuevo,02/12/2020,3l936r9831s3:90568
4367,nuevo,02/12/2020,7x561f2904s1:15835
9429,renovacion,02/12/2020,6x130a8030q1:68860
210,renovacion,02/12/2020,9x344x5826j7:48976
3471,perdida,02/12/2020,1p491s4136w5:88628
2014,nuevo,02/12/2020,6j435a1193w6:57476
6306,renovacion,02/12/2020,6x164i4658u4:52329
8341,renovacion,02/12/2020,3h184d8233a9:37751
8832,renovacion,02/12/2020,1i118q3688a4:82707
8868,nuevo,02/12/2020,3v986z5910x7:27667
4301,nuevo,02/12/2020,8q728i3510j2:70513
8125,renovacion,02/12/2020,1f912n8929g6:26316
838,nuevo,02/12/2020,2w837o8853s9:12209
799,renovacion,02/12/2020,9v518q3272v4:50210
9144,nuevo,02/12/2020,9s900c8363c4:61711
3862,renovacion,02/12/2020,2r686l7401w4:69253
5461,renovacion,02/12/2020,8m938l3908q1:35537
8882,renovacion,02/12/2020,7r914d8705s5:68643
4909,renovacion,02/12/2020,3o746y6439l4:81520
488,nuevo,02/12/2020,5u402x9635t6:75268
