id,nombre_completo,ciudad,banco,nro_transaccion,fecha,hora,monto,comentarios
25,Aldis Wiggam,Cochabamba,Banco Union,4.02673E+15,01/12/2020,09:16,17.00,
26,Dona Bolus,Cochabamba,Banco Union,5.02098E+15,06/11/2020,08:06,17.00,
27,Gussi Milnes,Cochabamba,Banco Union,3.05716E+13,06/11/2020,11:45,17.00,
28,Poul Sherington,Cochabamba,Banco Union,3.53816E+15,26/11/2020,09:38,17.00,
29,Trixie Bedding,Cochabamba,Banco Union,5.60223E+15,04/11/2020,13:11,17.00,
30,Rachele Eloy,Cochabamba,Banco Union,5.60221E+15,06/12/2020,07:59,17.00,
31,Ailene Leacy,Cochabamba,Banco Union,3.56471E+15,01/12/2020,16:45,17.00,ci caduco
32,Madelle Plumridege,Cochabamba,Banco Union,5.10876E+15,03/11/2020,12:13,17.00,pagado
33,Tessie Shannon,Cochabamba,Otros,5.10013E+15,11/11/2020,13:49,17.00,
34,Jacinthe Francesco,Cochabamba,Banco Union,3.54809E+15,06/12/2020,14:54,17.00,
35,Loutitia Prate,Cochabamba,Banco Union,4.93616E+18,13/11/2020,14:46,17.00,corresponsal
36,Iona Molineux,Cochabamba,Otros,5.60224E+15,02/11/2020,06:57,17.00,
37,Pepe Nicolls,Cochabamba,Banco Union,4.9031E+17,11/11/2020,15:58,17.00,
38,Adelina Beams,Cochabamba,Banco Union,3.69025E+13,13/12/2020,16:40,17.00,
39,Corri Wilkison,Cochabamba,Banco Union,6.04232E+15,06/12/2020,06:58,17.00,
40,Tabor Batch,Cochabamba,Banco Union,3.58244E+15,29/11/2020,12:06,17.00,
41,Jo-anne Paice,Cochabamba,Banco Union,3.01919E+13,01/11/2020,06:51,17.00,
42,Annalee Josskovitz,Cochabamba,Banco Union,5.00766E+15,25/11/2020,06:24,17.00,pagado
43,Beniamino Paprotny,Cochabamba,Banco Union,5.61036E+16,16/11/2020,09:00,17.00,
44,Claudette Seedman,Cochabamba,Banco Union,3.58596E+15,23/11/2020,14:12,17.00,
45,Rosalyn Tayloe,Cochabamba,Banco Union,3.55592E+15,18/11/2020,13:29,17.00,
46,Erroll Falck,Cochabamba,Otros,5.14951E+15,21/11/2020,14:11,17.00,
47,Saree Anneslie,Cochabamba,Banco Union,3.37942E+14,17/11/2020,15:32,17.00,
48,Bobby Tolliday,Cochabamba,Banco Union,4.01795E+12,23/11/2020,10:54,17.00,
49,Amargo Truwert,Cochabamba,Otros,5.02048E+15,25/11/2020,11:44,17.00,
50,Sharlene Britnell,Cochabamba,Banco Union,6.33498E+18,16/11/2020,13:19,17.00,pagado
51,Marnia Hassard,Cochabamba,Otros,3.52873E+15,28/11/2020,09:28,17.00,s/n
52,Winn Wycherley,Cochabamba,Banco Union,3.74288E+14,23/11/2020,17:10,17.00,
53,Town Dikels,Cochabamba,Otros,5.10014E+15,15/12/2020,07:27,17.00,
54,Grove Vittle,Cochabamba,Banco Union,3.54909E+15,07/11/2020,13:31,17.00,
55,Rhodia Boscott,Cochabamba,Banco Union,3.58141E+15,20/11/2020,17:17,17.00,
56,Rollie Robeson,Cochabamba,Banco Union,5.59128E+15,10/11/2020,08:27,17.00,s/n correo
57,Zorina Cregeen,Cochabamba,Otros,3.72302E+14,14/11/2020,10:23,17.00,
58,Othello Menilove,Cochabamba,Banco Union,6.70923E+18,13/12/2020,11:21,17.00,corresponsal
59,Ruthe Gynne,Cochabamba,Banco Union,3.55213E+15,03/12/2020,06:27,17.00,
60,Trefor Wild,Cochabamba,Banco Union,3.56009E+15,11/12/2020,08:01,17.00,sn/ numero
61,Anissa Palay,Cochabamba,Banco Union,5.60221E+15,25/11/2020,13:50,17.00,
62,Gwynne Cuskery,Cochabamba,Banco Union,2.01879E+14,10/12/2020,12:09,17.00,
63,Georgiana Dobrovolski,Cochabamba,Otros,3.5636E+15,07/12/2020,06:31,17.00,pagado
64,Eydie Lepick,Cochabamba,Banco Union,6.33334E+17,02/11/2020,15:28,17.00,s/n correo
65,Seline Bimson,Cochabamba,Banco Union,3.58877E+15,28/11/2020,06:17,17.00,sn/ numero
66,Cassey Ralston,Cochabamba,Otros,2.01939E+14,14/11/2020,11:57,17.00,
67,Matthieu Banisch,Cochabamba,Banco Union,6.33469E+15,29/11/2020,15:11,17.00,
68,Trescha Lyne,Cochabamba,Banco Union,3.57456E+15,01/11/2020,06:35,17.00,
69,Kristien Cluitt,Cochabamba,Banco Union,3.58823E+15,05/12/2020,16:33,17.00,pagado
70,Lucio Sainz,Cochabamba,Banco Union,3.56308E+15,04/11/2020,06:00,17.00,
71,Vanna Jerman,Cochabamba,Banco Union,3.53969E+15,08/11/2020,09:41,17.00,
72,Gina Rannigan,Cochabamba,Banco Union,3.58496E+15,08/12/2020,14:25,17.00,
73,Nathalia Bradtke,Cochabamba,Banco Union,3.58531E+15,05/11/2020,08:16,17.00,
74,Elisha Shanks,Cochabamba,Banco Union,3.72301E+14,19/11/2020,07:37,17.00,
75,Prudence Northover,Cochabamba,Banco Union,3.54337E+15,04/12/2020,10:12,17.00,
76,Kellia Tomisch,Cochabamba,Banco Union,2.01461E+14,28/11/2020,13:27,17.00,
77,Porter Daniele,Cochabamba,Otros,5.03863E+16,22/11/2020,16:21,17.00,
78,Adina Govett,Cochabamba,Banco Union,3.5738E+15,25/11/2020,16:39,17.00,
79,Catlee Advani,Cochabamba,Otros,3.53419E+15,08/12/2020,15:04,17.00,
80,Heda Arnopp,Cochabamba,Banco Union,5.01874E+15,30/11/2020,13:20,17.00,
81,Adrian Furmage,Cochabamba,Banco Union,5.64182E+17,01/12/2020,11:55,17.00,
82,Analise Osbiston,Cochabamba,Otros,3.58454E+15,15/11/2020,11:58,17.00,corresponsal
83,Benito Matchett,Cochabamba,Banco Union,6.76276E+15,04/11/2020,11:22,17.00,s/n boleta sufragio
84,Burty Dorracott,Cochabamba,Banco Union,3.55578E+15,04/12/2020,06:30,17.00,
85,Eolanda Jepson,Cochabamba,Banco Union,6.76104E+18,30/11/2020,08:08,17.00,
86,Datha Smeuin,Cochabamba,Banco Union,3.57981E+15,10/11/2020,09:44,17.00,
87,Rivalee Bertouloume,Cochabamba,Banco Union,6.7631E+18,27/11/2020,12:36,17.00,
88,Saree Lavallin,Cochabamba,Banco Union,3.55256E+15,14/12/2020,07:41,17.00,
89,Payton Yanov,Cochabamba,Banco Union,6.75945E+15,12/11/2020,16:00,17.00,ci caduco
90,Mordy de Juares,Cochabamba,Banco Union,6.39152E+15,06/12/2020,16:33,17.00,
91,Morgen Pollett,Cochabamba,Banco Union,3.69125E+13,04/11/2020,11:29,17.00,
92,Suzy Rain,Cochabamba,Otros,6.30483E+16,11/11/2020,17:34,17.00,
93,Flynn Tuffin,Cochabamba,Banco Union,5.10015E+15,26/11/2020,08:23,17.00,
94,Darbie Trenoweth,Cochabamba,Otros,4.17501E+15,26/11/2020,14:18,17.00,ci caduco
95,Cordula Dessant,Cochabamba,Banco Union,5.10013E+15,17/11/2020,11:20,17.00,corresponsal
96,Jamaal Messam,Cochabamba,Banco Union,3.58153E+15,07/11/2020,06:45,17.00,s/n boleta sufragio
97,Esme Hillitt,Cochabamba,Banco Union,3.74289E+14,15/12/2020,09:48,17.00,
98,Sid Stivey,Cochabamba,Banco Union,6.70979E+17,23/11/2020,10:56,17.00,
99,Drusi Crisford,Cochabamba,Banco Union,6.33111E+18,05/11/2020,06:31,17.00,pagado
100,Kitty Nutter,Cochabamba,Banco Union,5.10333E+15,28/11/2020,11:58,17.00,
101,Ceciley Bruhnsen,Cochabamba,Banco Union,6.70964E+18,08/11/2020,09:49,17.00,s/n
102,Shaine Peal,Cochabamba,Banco Union,5.00767E+15,03/12/2020,10:08,17.00,
103,Basile Arbuckel,Cochabamba,Banco Union,5.53917E+15,23/11/2020,14:01,17.00,
104,Venita Luckham,Cochabamba,Banco Union,2.01965E+14,13/11/2020,16:16,17.00,s/n
105,Alva Twigger,Cochabamba,Banco Union,3.74284E+14,10/12/2020,06:55,17.00,
106,Seumas Records,Cochabamba,Banco Union,3.57916E+15,02/11/2020,12:54,17.00,
107,Emmery Peabody,Cochabamba,Banco Union,4.01796E+12,17/11/2020,13:49,17.00,s/n
108,Dannie Gaspard,Cochabamba,Banco Union,6.75911E+15,19/11/2020,15:17,17.00,sn/ numero
109,Ignace Eatherton,Cochabamba,Banco Union,3.01534E+13,08/11/2020,09:34,17.00,
110,Marney MacKain,Cochabamba,Banco Union,5.61095E+15,23/11/2020,14:21,17.00,
111,Dixie Northleigh,Cochabamba,Otros,3.37942E+14,15/12/2020,07:44,17.00,
112,Terri Surman-Wells,Cochabamba,Otros,6.77156E+18,30/11/2020,17:42,17.00,
113,Kyle Giff,Cochabamba,Banco Union,5.5173E+15,12/12/2020,06:47,17.00,
114,Alfie Etteridge,Cochabamba,Otros,3.58696E+15,12/11/2020,17:12,17.00,s/n
115,Mildrid Nussey,Cochabamba,Banco Union,3.72302E+14,04/11/2020,11:55,17.00,
116,Daven Pakenham,Cochabamba,Banco Union,3.56913E+15,17/11/2020,12:05,17.00,
117,Danni MacKibbon,Cochabamba,Banco Union,6.30428E+18,04/11/2020,16:35,17.00,
118,Ingaberg Mardling,Cochabamba,Otros,5.60225E+15,11/12/2020,12:10,17.00,
119,Elwira Studdard,Cochabamba,Banco Union,6.76167E+18,07/11/2020,15:18,17.00,
120,Amelie Delmage,Cochabamba,Banco Union,5.49953E+15,04/12/2020,17:04,17.00,
121,Roderich Petrelli,Cochabamba,Banco Union,3.05235E+13,15/11/2020,08:48,17.00,
122,Aluino Lundbech,Cochabamba,Banco Union,3.74289E+14,11/11/2020,14:23,17.00,s/n boleta sufragio
123,Marj Ditzel,Cochabamba,Banco Union,3.58308E+15,03/12/2020,15:58,17.00,
124,June McAree,Cochabamba,Banco Union,3.54456E+15,04/11/2020,15:55,17.00,
125,Thalia Dhennin,Cochabamba,Otros,5.61022E+15,09/12/2020,11:33,17.00,
126,Alphonse Blei,Cochabamba,Banco Union,5.60223E+15,06/12/2020,10:59,17.00,
127,Ranice Emm,Cochabamba,Banco Union,3.00217E+13,15/12/2020,12:37,17.00,s/n correo
128,Dorelle Spragg,Cochabamba,Banco Union,5.10013E+15,20/11/2020,11:32,17.00,
129,Maddalena Sadry,Cochabamba,Banco Union,5.56453E+15,22/11/2020,09:15,17.00,pagado
130,Augustina Pachta,Cochabamba,Otros,3.55919E+15,13/11/2020,08:52,17.00,
131,Des Pargetter,Cochabamba,Banco Union,5.60221E+15,07/11/2020,16:44,17.00,
132,Nanci Guillain,Cochabamba,Banco Union,3.55764E+15,05/11/2020,09:14,17.00,
133,Davy Fulks,Cochabamba,Banco Union,5.4373E+15,10/11/2020,11:49,17.00,pagado
134,Teresina Delea,Cochabamba,Banco Union,5.00235E+15,17/11/2020,14:31,17.00,s/n
135,Lucky Scroxton,Cochabamba,Banco Union,5.10875E+15,15/12/2020,11:25,17.00,sn/ numero
136,Marti Quigg,Cochabamba,Banco Union,4.90393E+17,03/12/2020,14:08,17.00,ci caduco
137,Billi Plan,Cochabamba,Banco Union,2.01712E+14,03/12/2020,09:34,17.00,
138,Denney Avo,Cochabamba,Banco Union,3.54853E+15,18/11/2020,13:50,17.00,
139,Frants Pymer,Cochabamba,Banco Union,3.04002E+13,06/12/2020,11:42,17.00,
140,Culver Rickman,Cochabamba,Banco Union,4.91773E+15,29/11/2020,11:38,17.00,
141,Holly-anne Burke,Cochabamba,Banco Union,3.5366E+15,14/11/2020,15:36,17.00,
142,Albrecht Rochford,Cochabamba,Banco Union,5.10014E+15,26/11/2020,09:29,17.00,
143,Kristien Houlworth,Cochabamba,Otros,4.04159E+15,06/11/2020,11:55,17.00,
144,Jessamyn Druce,Cochabamba,Banco Union,5.60222E+17,19/11/2020,16:58,17.00,
145,Matthaeus Hurcombe,Cochabamba,Banco Union,3.53291E+15,01/11/2020,09:39,17.00,
146,Ethelind Lynch,Cochabamba,Banco Union,3.55219E+15,13/11/2020,10:46,17.00,
147,Dehlia Danielian,Cochabamba,Banco Union,6.7067E+16,28/11/2020,16:24,17.00,pagado
148,Rustin Breede,Cochabamba,Banco Union,6.76322E+17,12/12/2020,13:40,17.00,s/n correo
149,Anette Bernon,Cochabamba,Banco Union,6.3049E+18,11/11/2020,15:03,17.00,corresponsal
150,Morena Imbrey,Cochabamba,Banco Union,3.57795E+15,17/11/2020,15:11,17.00,
151,Jorry MacSwayde,Cochabamba,Otros,3.54443E+15,09/12/2020,16:41,17.00,
152,Clarice Heak,Cochabamba,Otros,3.58956E+15,09/12/2020,13:32,17.00,
153,Nichole Mahmood,Cochabamba,Banco Union,2.01511E+14,14/11/2020,10:28,17.00,
154,Bride Heller,Cochabamba,Banco Union,3.74289E+14,05/11/2020,07:23,17.00,
155,Meaghan Shales,Cochabamba,Banco Union,3.55649E+15,08/11/2020,08:39,17.00,
156,Mile Knill,Cochabamba,Banco Union,2.01713E+14,06/12/2020,15:48,17.00,
157,Bronson Camp,Cochabamba,Banco Union,3.54476E+15,30/11/2020,15:26,17.00,
158,Velvet Vasechkin,Cochabamba,Banco Union,3.57607E+15,08/12/2020,11:58,17.00,
159,Ari Petican,Cochabamba,Banco Union,3.5782E+15,13/12/2020,11:55,17.00,
160,Lona Dickson,Cochabamba,Banco Union,3.57026E+15,04/11/2020,08:55,17.00,
161,Guthry Corbishley,Cochabamba,Banco Union,3.58808E+15,06/12/2020,15:20,17.00,
162,Benjamin Spearing,Cochabamba,Otros,5.10017E+15,30/11/2020,13:55,17.00,
163,Ranice Costock,Cochabamba,Banco Union,3.58852E+15,24/11/2020,16:32,17.00,s/n
164,Glenda Rechert,Cochabamba,Banco Union,2.01906E+14,14/11/2020,07:25,17.00,
165,Kaela Laxtonne,Cochabamba,Banco Union,3.54322E+15,12/12/2020,12:13,17.00,
166,Baxie Dewdeny,Cochabamba,Banco Union,3.58018E+15,14/12/2020,15:43,17.00,
167,Pavlov Pomfrett,Cochabamba,Banco Union,6.38344E+15,11/12/2020,13:08,17.00,
168,Mike Hortop,Cochabamba,Banco Union,4.91161E+15,12/12/2020,17:05,17.00,
169,Beale Moreland,Cochabamba,Otros,3.04196E+13,07/11/2020,17:27,17.00,
170,Min Ende,Cochabamba,Banco Union,5.61046E+16,08/12/2020,09:18,17.00,s/n boleta sufragio
171,Clemmie Pepperill,Cochabamba,Banco Union,5.04838E+15,08/12/2020,12:18,17.00,ci caduco
172,Zia Organ,Cochabamba,Banco Union,5.60225E+16,14/11/2020,09:06,17.00,sn/ numero
173,Krista Peel,Cochabamba,Banco Union,3.54742E+15,09/11/2020,13:35,17.00,
174,Jamil Olivazzi,Cochabamba,Otros,3.55005E+15,09/12/2020,11:44,17.00,
175,Town Mayte,Cochabamba,Otros,3.74288E+14,05/11/2020,12:45,17.00,
176,Nerti Tieman,Cochabamba,Banco Union,3.53876E+15,03/11/2020,15:00,17.00,corresponsal
177,Lorianne Lode,Cochabamba,Banco Union,6.76184E+16,30/11/2020,14:56,17.00,
178,Major Meneur,Cochabamba,Banco Union,3.55565E+15,06/11/2020,12:36,17.00,
179,Livvyy Redmayne,Cochabamba,Otros,3.74289E+14,11/12/2020,06:30,17.00,
180,Marketa Mallock,Cochabamba,Banco Union,3.54838E+15,12/12/2020,11:18,17.00,
181,Ondrea Priditt,Cochabamba,Banco Union,5.56226E+15,13/11/2020,15:25,17.00,s/n correo
182,Jameson Eriksson,Cochabamba,Banco Union,6.37587E+15,26/11/2020,08:18,17.00,
183,Jessie MacInerney,Cochabamba,Banco Union,3.53571E+15,04/12/2020,16:29,17.00,
184,Lynnette Moggie,Cochabamba,Banco Union,3.56531E+15,19/11/2020,17:01,17.00,
185,Murry Simmings,Cochabamba,Banco Union,5.8939E+16,10/11/2020,11:12,17.00,
186,Bailie Figliovanni,Cochabamba,Banco Union,3.74288E+14,05/11/2020,11:44,17.00,s/n correo
187,Colas Stillwell,Cochabamba,Banco Union,6.76116E+15,13/11/2020,10:58,17.00,
188,Delila Ledley,Cochabamba,Banco Union,3.57397E+15,19/11/2020,10:22,17.00,
189,Fredric Benadette,Cochabamba,Otros,5.60225E+18,24/11/2020,09:44,17.00,
190,Alexina Parren,Cochabamba,Otros,3.55297E+15,15/11/2020,12:57,17.00,
191,Gare Calken,Cochabamba,Otros,5.58574E+15,13/11/2020,06:39,17.00,
192,Mindy Strathearn,Cochabamba,Banco Union,5.58056E+15,18/11/2020,10:22,17.00,
193,Tracey Grooby,Cochabamba,Otros,3.53402E+15,19/11/2020,09:39,17.00,s/n boleta sufragio
194,Darb Groger,Cochabamba,Banco Union,3.58574E+15,09/11/2020,06:25,17.00,corresponsal
195,Agnes Mooney,Cochabamba,Banco Union,6.38029E+15,29/11/2020,11:14,17.00,
196,Herminia Decaze,Cochabamba,Banco Union,3.57456E+15,27/11/2020,06:09,17.00,
197,Percy Tilling,Cochabamba,Banco Union,3.53374E+15,25/11/2020,08:42,17.00,
198,Michell Absalom,Cochabamba,Banco Union,3.01319E+13,12/12/2020,08:35,17.00,
199,Clyve Roderighi,Cochabamba,Banco Union,4.01796E+15,13/12/2020,10:06,17.00,
200,Tucky Alleyne,Cochabamba,Banco Union,3.5604E+15,14/11/2020,12:21,17.00,pagado
201,Torey Pennone,Cochabamba,Banco Union,5.10018E+15,10/12/2020,15:23,17.00,
202,Bevon Valde,Cochabamba,Banco Union,3.5371E+15,03/12/2020,15:31,17.00,
203,Marillin Twitty,Cochabamba,Otros,3.56677E+15,10/12/2020,13:54,17.00,
204,Ginelle Boadby,Cochabamba,Banco Union,3.56425E+15,06/12/2020,11:37,17.00,s/n
205,Tiphanie Abramow,Cochabamba,Banco Union,3.55478E+15,06/11/2020,09:17,17.00,
206,Kaila McCloy,Cochabamba,Banco Union,4.90589E+18,04/12/2020,14:46,17.00,
207,Hali Everit,Cochabamba,Otros,4.90556E+15,23/11/2020,06:18,17.00,
208,Muffin Fust,Cochabamba,Banco Union,3.55038E+15,17/11/2020,09:21,17.00,
209,Eldredge Cossentine,Cochabamba,Banco Union,6.33447E+15,08/11/2020,14:21,17.00,sn/ numero
210,Graig Toffanini,Cochabamba,Banco Union,3.56876E+15,07/12/2020,13:29,17.00,
211,Gardner Oultram,Cochabamba,Banco Union,3.571E+15,07/12/2020,16:05,17.00,
212,Tiphany Medina,Cochabamba,Banco Union,3.0515E+13,10/12/2020,11:14,17.00,
213,Mora Karolovsky,Cochabamba,Banco Union,4.01795E+12,13/11/2020,09:06,17.00,
214,Cordell Atterley,Cochabamba,Banco Union,6.30456E+15,19/11/2020,16:15,17.00,pagado
215,Lamond Nolot,Cochabamba,Banco Union,4.04138E+12,23/11/2020,16:46,17.00,corresponsal
216,Nappy Simo,Cochabamba,Banco Union,3.55327E+15,20/11/2020,08:06,17.00,
217,Peirce Satterlee,Cochabamba,Banco Union,3.53446E+15,19/11/2020,14:50,17.00,
218,Danya Gawthorpe,Cochabamba,Banco Union,3.7268E+14,24/11/2020,09:46,17.00,
219,Tressa Ruberti,Cochabamba,Banco Union,3.54469E+15,01/11/2020,06:45,17.00,
220,Garrard Reggler,Cochabamba,Banco Union,3.55339E+15,28/11/2020,08:48,17.00,
221,Karla Dron,Cochabamba,Banco Union,3.56872E+15,13/12/2020,16:59,17.00,s/n boleta sufragio
222,Josi Bambrugh,Cochabamba,Banco Union,4.93697E+17,13/12/2020,06:41,17.00,
223,Randy Coleiro,Cochabamba,Banco Union,3.56995E+15,08/11/2020,06:03,17.00,
224,Eugenie Charon,Cochabamba,Otros,3.0263E+13,27/11/2020,12:02,17.00,
225,Lenna Tremoulet,Cochabamba,Banco Union,3.54522E+15,09/12/2020,06:31,17.00,
226,Killian Joice,Cochabamba,Banco Union,6.75964E+17,15/12/2020,07:34,17.00,
227,Benyamin Hungerford,Cochabamba,Banco Union,3.54228E+15,01/11/2020,15:04,17.00,
228,Adriano Twiddell,Cochabamba,Banco Union,4.04138E+15,14/12/2020,13:30,17.00,
229,Chelsie Coolbear,Cochabamba,Banco Union,5.50394E+15,18/11/2020,16:25,17.00,sn/ numero
230,Tabby Sprowles,Cochabamba,Otros,4.175E+15,13/12/2020,08:35,17.00,corresponsal
231,Idette Bertomeu,Cochabamba,Banco Union,3.53124E+15,19/11/2020,09:30,17.00,
232,Eleen Blackaller,Cochabamba,Otros,5.10014E+15,10/12/2020,07:59,17.00,
233,Ilyssa Pollett,Cochabamba,Banco Union,3.57239E+15,11/11/2020,11:19,17.00,pagado
234,Mackenzie Vischi,Cochabamba,Banco Union,3.53571E+15,13/12/2020,15:48,17.00,
235,Neils Tows,Cochabamba,Banco Union,2.01874E+14,29/11/2020,07:43,17.00,
236,Tildy Gutowski,Cochabamba,Otros,3.56572E+15,26/11/2020,15:45,17.00,s/n boleta sufragio
237,Regen Coleman,Cochabamba,Otros,3.03536E+13,13/12/2020,08:46,17.00,corresponsal
238,Wynn Venner,Cochabamba,Banco Union,5.43643E+15,16/11/2020,07:40,17.00,s/n correo
239,Austine Spiaggia,Cochabamba,Otros,3.571E+15,08/12/2020,11:10,17.00,
240,Jerrilee Whorton,Cochabamba,Banco Union,3.05584E+13,02/11/2020,17:54,17.00,
241,Timmie Mattinson,Cochabamba,Banco Union,4.91343E+15,07/11/2020,15:23,17.00,
242,Dela Rawsthorn,Cochabamba,Banco Union,3.53466E+15,23/11/2020,09:14,17.00,
243,Thom Vittori,Cochabamba,Banco Union,3.58814E+15,14/12/2020,13:47,17.00,
244,Winnie Ionesco,Cochabamba,Banco Union,4.04138E+12,10/12/2020,08:30,17.00,
245,Dale Noone,Cochabamba,Banco Union,3.56335E+15,24/11/2020,16:23,17.00,sn/ numero
246,Ardra Breeder,Cochabamba,Otros,3.01743E+13,06/12/2020,07:09,17.00,
247,Dominique Askie,Cochabamba,Banco Union,3.55834E+15,21/11/2020,09:54,17.00,s/n correo
248,Conway Merrall,Cochabamba,Banco Union,3.52981E+15,02/12/2020,17:50,17.00,
249,Devina Male,Cochabamba,Otros,4.9173E+15,23/11/2020,11:49,17.00,ci caduco
250,Lucina Pioli,Cochabamba,Banco Union,3.56531E+15,06/12/2020,06:22,17.00,
251,Dedie Sayer,Cochabamba,Banco Union,6.70984E+16,01/11/2020,15:57,17.00,corresponsal
252,Sasha Biss,Cochabamba,Otros,4.91701E+15,11/11/2020,14:59,17.00,
253,Laurel Saffe,Cochabamba,Otros,3.53591E+15,29/11/2020,17:37,17.00,
254,Jeffy Philippson,Cochabamba,Banco Union,5.15247E+15,09/12/2020,15:03,17.00,
255,Thadeus Thaine,Cochabamba,Otros,4.02628E+15,09/12/2020,06:02,17.00,s/n correo
256,Tailor Komorowski,Cochabamba,Banco Union,3.53441E+15,15/11/2020,06:43,17.00,
257,Vitoria O'Brogan,Cochabamba,Banco Union,3.74283E+14,02/11/2020,08:56,17.00,
258,Rora Luddy,Cochabamba,Banco Union,3.5476E+15,19/11/2020,11:29,17.00,
259,Myrle Mattiato,Cochabamba,Banco Union,3.54671E+15,23/11/2020,10:39,17.00,corresponsal
260,Maynard Davidove,Cochabamba,Otros,6.70693E+15,12/11/2020,12:18,17.00,
261,Eustacia Terzza,Cochabamba,Banco Union,4.90531E+18,19/11/2020,12:40,17.00,
262,Alphonse Screech,Cochabamba,Otros,6.70949E+17,25/11/2020,13:15,17.00,
263,Gale Brodnecke,Cochabamba,Banco Union,5.10014E+15,25/11/2020,08:59,17.00,
264,Harland Crimes,Cochabamba,Otros,3.56362E+15,14/12/2020,13:03,17.00,
265,Gill Braunroth,Cochabamba,Otros,3.54075E+15,14/11/2020,10:14,17.00,sn/ numero
266,Rodd Burrill,Cochabamba,Banco Union,3.56463E+15,25/11/2020,17:55,17.00,
267,Gratia Colliber,Cochabamba,Otros,5.53149E+15,18/11/2020,09:44,17.00,
268,Danya Thraves,Cochabamba,Banco Union,3.53593E+15,06/11/2020,16:22,17.00,ci caduco
269,Cordi Bryan,Cochabamba,Otros,4.50856E+15,22/11/2020,13:42,17.00,ci caduco
270,Jacquie Pellett,Cochabamba,Otros,3.57843E+15,12/12/2020,11:29,17.00,corresponsal
271,Mair Essam,Cochabamba,Otros,3.00097E+13,15/12/2020,14:39,17.00,
272,Tuck Eskriet,Cochabamba,Banco Union,6.38512E+15,26/11/2020,06:43,17.00,
273,Guillemette Robbey,Cochabamba,Banco Union,3.58164E+15,02/12/2020,14:41,17.00,
274,Alexis Pepis,Cochabamba,Banco Union,3.53385E+15,15/11/2020,10:36,17.00,
275,Jeffy Dyter,Cochabamba,Banco Union,3.556E+15,06/11/2020,17:45,17.00,
276,Buffy Bynold,Cochabamba,Otros,3.74284E+14,30/11/2020,11:01,17.00,sn/ numero
277,Raul Nuschke,Cochabamba,Banco Union,5.10014E+15,10/12/2020,15:35,17.00,s/n boleta sufragio
278,Gage Spurling,Cochabamba,Banco Union,3.57226E+15,04/11/2020,13:44,17.00,
279,Cynde Broxap,Cochabamba,Banco Union,5.515E+15,26/11/2020,06:09,17.00,
280,Guglielma Stuckford,Cochabamba,Banco Union,2.01784E+14,10/11/2020,06:37,17.00,
281,Pauletta Undrell,Cochabamba,Banco Union,5.10013E+15,26/11/2020,16:29,17.00,sn/ numero
282,Tallou Isson,Cochabamba,Banco Union,6.76311E+18,26/11/2020,16:35,17.00,
283,Calli Mannagh,Cochabamba,Banco Union,3.54231E+15,14/12/2020,16:17,17.00,s/n
